x, y, z, c
-1.0,0.20000008,0.100000076 ,2570
-0.9,0.20000008,0.100000076 ,2570
-0.79999995,0.20000008,0.100000076 ,2313
-0.6999999,0.20000008,0.100000076 ,65792
-0.5999999,0.20000008,0.100000076 ,65792
-0.4999999,0.20000008,0.100000076 ,65792
-0.39999992,0.20000008,0.100000076 ,65792
-0.29999992,0.20000008,0.100000076 ,65792
-0.19999993,0.20000008,0.100000076 ,65792
0.20000008,0.100000076,0.100000076 ,65792
0.30000007,0.100000076,0.100000076 ,65792
0.40000007,0.100000076,0.100000076 ,65792
0.50000006,0.100000076,0.100000076 ,65792
0.6000001,0.100000076,0.100000076 ,65792
0.7000001,0.100000076,0.100000076 ,65792
0.80000013,0.100000076,0.100000076 ,4112
0.90000015,0.100000076,0.100000076 ,65792
1.0000001,0.100000076,0.100000076 ,65792
-0.6999999,0.100000076,0.100000076 ,65792
-0.5999999,0.100000076,0.100000076 ,65792
-0.4999999,0.100000076,0.100000076 ,65792
-0.39999992,0.100000076,0.100000076 ,65792
-0.29999992,0.100000076,0.100000076 ,65792
-0.19999993,0.100000076,0.100000076 ,65792
-9.999993e-2,0.100000076,0.100000076 ,65792
7.4505806e-8,0.100000076,0.100000076 ,65792
0.100000076,0.100000076,0.100000076 ,65792
0.50000006,7.4505806e-8,0.100000076 ,65792
0.6000001,7.4505806e-8,0.100000076 ,65792
0.7000001,7.4505806e-8,0.100000076 ,65792
0.80000013,7.4505806e-8,0.100000076 ,65792
0.90000015,7.4505806e-8,0.100000076 ,65792
1.0000001,7.4505806e-8,0.100000076 ,65792
-1.0,0.100000076,0.100000076 ,65792
-0.9,0.100000076,0.100000076 ,65792
-0.79999995,0.100000076,0.100000076 ,4112
0.50000006,7.4505806e-8,0.100000076 ,65792
0.6000001,7.4505806e-8,0.100000076 ,65792
0.7000001,7.4505806e-8,0.100000076 ,65792
0.80000013,7.4505806e-8,0.100000076 ,65792
0.90000015,7.4505806e-8,0.100000076 ,65792
1.0000001,7.4505806e-8,0.100000076 ,65792
-1.0,0.100000076,0.100000076 ,65792
-0.9,0.100000076,0.100000076 ,65792
-0.79999995,0.100000076,0.100000076 ,4112
-0.39999992,7.4505806e-8,0.100000076 ,65792
-0.29999992,7.4505806e-8,0.100000076 ,65792
-0.19999993,7.4505806e-8,0.100000076 ,65792
-9.999993e-2,7.4505806e-8,0.100000076 ,65792
7.4505806e-8,7.4505806e-8,0.100000076 ,65792
0.100000076,7.4505806e-8,0.100000076 ,65792
0.20000008,7.4505806e-8,0.100000076 ,65792
0.30000007,7.4505806e-8,0.100000076 ,65792
0.40000007,7.4505806e-8,0.100000076 ,65792
-0.39999992,7.4505806e-8,0.100000076 ,65792
-0.29999992,7.4505806e-8,0.100000076 ,65792
-0.19999993,7.4505806e-8,0.100000076 ,65792
-9.999993e-2,7.4505806e-8,0.100000076 ,65792
7.4505806e-8,7.4505806e-8,0.100000076 ,65792
0.100000076,7.4505806e-8,0.100000076 ,65792
0.20000008,7.4505806e-8,0.100000076 ,65792
0.30000007,7.4505806e-8,0.100000076 ,65792
0.40000007,7.4505806e-8,0.100000076 ,65792
0.80000013,-9.999993e-2,0.100000076 ,4112
0.90000015,-9.999993e-2,0.100000076 ,65792
1.0000001,-9.999993e-2,0.100000076 ,65792
-1.0,7.4505806e-8,0.100000076 ,65792
-0.9,7.4505806e-8,0.100000076 ,65792
-0.79999995,7.4505806e-8,0.100000076 ,65792
-0.6999999,7.4505806e-8,0.100000076 ,65792
-0.5999999,7.4505806e-8,0.100000076 ,65792
-0.4999999,7.4505806e-8,0.100000076 ,65792
0.80000013,-9.999993e-2,0.100000076 ,4112
0.90000015,-9.999993e-2,0.100000076 ,65792
1.0000001,-9.999993e-2,0.100000076 ,65792
-1.0,7.4505806e-8,0.100000076 ,65792
-0.9,7.4505806e-8,0.100000076 ,65792
-0.79999995,7.4505806e-8,0.100000076 ,65792
-0.6999999,7.4505806e-8,0.100000076 ,65792
-0.5999999,7.4505806e-8,0.100000076 ,65792
-0.4999999,7.4505806e-8,0.100000076 ,65792
-9.999993e-2,-9.999993e-2,0.100000076 ,65792
7.4505806e-8,-9.999993e-2,0.100000076 ,65792
0.100000076,-9.999993e-2,0.100000076 ,65792
0.20000008,-9.999993e-2,0.100000076 ,65792
0.30000007,-9.999993e-2,0.100000076 ,65792
0.40000007,-9.999993e-2,0.100000076 ,65792
0.50000006,-9.999993e-2,0.100000076 ,65792
0.6000001,-9.999993e-2,0.100000076 ,65792
0.7000001,-9.999993e-2,0.100000076 ,65792
-9.999993e-2,-9.999993e-2,0.100000076 ,65792
7.4505806e-8,-9.999993e-2,0.100000076 ,65792
0.100000076,-9.999993e-2,0.100000076 ,65792
0.20000008,-9.999993e-2,0.100000076 ,65792
0.30000007,-9.999993e-2,0.100000076 ,65792
0.40000007,-9.999993e-2,0.100000076 ,65792
0.50000006,-9.999993e-2,0.100000076 ,65792
0.6000001,-9.999993e-2,0.100000076 ,65792
0.7000001,-9.999993e-2,0.100000076 ,65792
-1.0,-9.999993e-2,0.100000076 ,65792
-0.9,-9.999993e-2,0.100000076 ,65792
-0.79999995,-9.999993e-2,0.100000076 ,4112
-0.6999999,-9.999993e-2,0.100000076 ,65792
-0.5999999,-9.999993e-2,0.100000076 ,65792
-0.4999999,-9.999993e-2,0.100000076 ,65792
-0.39999992,-9.999993e-2,0.100000076 ,65792
-0.29999992,-9.999993e-2,0.100000076 ,65792
-0.19999993,-9.999993e-2,0.100000076 ,65792
-1.0,-9.999993e-2,0.100000076 ,65792
-0.9,-9.999993e-2,0.100000076 ,65792
-0.79999995,-9.999993e-2,0.100000076 ,4112
-0.6999999,-9.999993e-2,0.100000076 ,65792
-0.5999999,-9.999993e-2,0.100000076 ,65792
-0.4999999,-9.999993e-2,0.100000076 ,65792
-0.39999992,-9.999993e-2,0.100000076 ,65792
-0.29999992,-9.999993e-2,0.100000076 ,65792
-0.19999993,-9.999993e-2,0.100000076 ,65792
0.20000008,-0.19999993,0.100000076 ,65792
0.30000007,-0.19999993,0.100000076 ,65792
0.40000007,-0.19999993,0.100000076 ,65792
0.50000006,-0.19999993,0.100000076 ,65792
0.6000001,-0.19999993,0.100000076 ,65792
0.7000001,-0.19999993,0.100000076 ,65792
0.80000013,-0.19999993,0.100000076 ,2313
0.90000015,-0.19999993,0.100000076 ,2570
1.0000001,-0.19999993,0.100000076 ,2570
0.20000008,-0.19999993,0.100000076 ,65792
0.30000007,-0.19999993,0.100000076 ,65792
0.40000007,-0.19999993,0.100000076 ,65792
0.50000006,-0.19999993,0.100000076 ,65792
0.6000001,-0.19999993,0.100000076 ,65792
0.7000001,-0.19999993,0.100000076 ,65792
0.80000013,-0.19999993,0.100000076 ,2313
0.90000015,-0.19999993,0.100000076 ,2570
1.0000001,-0.19999993,0.100000076 ,2570
0.50000006,-0.29999992,0.100000076 ,65792
0.6000001,-0.29999992,0.100000076 ,65792
0.7000001,-0.29999992,0.100000076 ,5911
